,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
q_min,0.01938052847981453,-0.006822426803410053,0.008508395403623581,0.0037755381781607866,3.0170374884619378e-05,0.020441928878426552,0.012947320938110352,-0.0031071272678673267,-0.6840819120407104,-1.1110079288482666,-4.247250556945801,-5.170295715332031,-6.6164093017578125,-9.561613082885742,-15.073168754577637,-17.072967529296875,-18.712512969970703,-21.19007110595703,-16.827428817749023,-20.488924026489258,-25.012619018554688,-18.54806900024414,-25.370662689208984,-23.75969696044922,-27.936952590942383,-27.292613983154297,-43.41127395629883,-42.197357177734375,-45.57842254638672,-47.316585540771484,-46.6800537109375,-42.89402770996094,-65.92430877685547,-61.890708923339844,-48.304176330566406,-63.075748443603516,-42.73286437988281,-57.279972076416016,-58.0809211730957,-66.27070617675781,-56.542877197265625,-14.645115852355957,-68.73043823242188,-56.26532745361328,-46.986839294433594,-13.984971046447754,-40.913490295410156,-8.621359825134277,-16.713459014892578,-24.743379592895508,-27.899681091308594,-19.02791976928711,-18.830957412719727,-26.531478881835938,-24.40608787536621,-32.7749137878418,-39.247642517089844,-32.20268630981445,-52.22498321533203,-52.58537673950195,-38.67351150512695,-36.64403533935547,-42.50887680053711,-40.142948150634766,-56.34492111206055,-47.02464294433594,-80.41693878173828,-59.693424224853516,-65.72655487060547,-82.33094024658203,-58.56805419921875,-79.95283508300781,-81.62887573242188,-66.79756927490234,-83.53609466552734,-66.7443618774414,-73.70787048339844,-72.54951477050781,-62.09025955200195,-67.12972259521484,-68.80061340332031,-52.55422592163086,-81.35417175292969,-60.84870910644531,-96.39430236816406,-69.35286712646484,-50.01961135864258,-68.42367553710938,-61.37413024902344,-62.059654235839844,-62.133644104003906,-63.79166793823242,11.283891677856445,-41.68491744995117
q_mean,0.9261472225189209,0.7755390405654907,0.7401223182678223,0.13432109355926514,0.09804504364728928,0.2949714660644531,0.41067007184028625,0.5594950914382935,-0.11906901001930237,-0.5722838640213013,-1.4158095121383667,-2.0531890392303467,-3.071967363357544,-4.314111232757568,-6.960061073303223,-8.1205415725708,-8.654511451721191,-10.475261688232422,-8.897686958312988,-10.076774597167969,-12.130860328674316,-10.382658004760742,-10.803970336914062,-11.162132263183594,-12.3994140625,-13.959762573242188,-21.115001678466797,-16.99833106994629,-24.137537002563477,-13.78851318359375,-25.096742630004883,-23.93979263305664,-32.8427619934082,-31.47200584411621,-26.839345932006836,-33.582603454589844,-19.578937530517578,-23.174739837646484,-34.591678619384766,-21.286304473876953,-32.09865951538086,-6.207077980041504,-25.163982391357422,-27.8461971282959,-23.256397247314453,-5.479558944702148,-11.391947746276855,-4.892246723175049,-10.181388854980469,-11.194096565246582,-12.949864387512207,-8.260725021362305,-9.78339672088623,-13.244029998779297,-14.910205841064453,-14.260372161865234,-19.399185180664062,-16.567014694213867,-13.9869384765625,-14.956913948059082,-14.662686347961426,-20.08327293395996,-20.654752731323242,-15.64889144897461,-15.549180030822754,-13.242280006408691,-28.561731338500977,-12.408487319946289,-23.36542320251465,-28.58642578125,-17.710391998291016,-25.148630142211914,-15.33224868774414,-13.342259407043457,-15.240797996520996,-12.080893516540527,-17.935619354248047,-14.692028999328613,-14.233732223510742,-11.608232498168945,-13.573650360107422,-7.990849494934082,-15.755476951599121,-6.830377101898193,-20.079364776611328,-13.112732887268066,0.7022206783294678,-19.025012969970703,-13.801444053649902,-16.175811767578125,-17.61190414428711,-12.779515266418457,19.351436614990234,-8.599287986755371
q_max,1.812095284461975,1.5334912538528442,1.4977717399597168,0.4172469973564148,0.321824848651886,0.6998141407966614,0.8959947228431702,1.1689631938934326,0.1382928192615509,-0.00724762724712491,-0.007553432136774063,0.03022133931517601,0.00559868011623621,0.10697746276855469,0.05280876159667969,0.018763232976198196,-0.07587140798568726,-0.37571772933006287,0.06278425455093384,0.022666137665510178,0.0562165305018425,-0.14492249488830566,-0.42029857635498047,-0.49685412645339966,-0.37820520997047424,-0.284741073846817,-0.2560853660106659,-0.2603895962238312,-0.11909526586532593,-0.1416209638118744,-0.6679593324661255,-0.6320173144340515,-0.6862770318984985,-0.4278560280799866,-0.8320507407188416,-0.8847998976707458,-1.118262767791748,-0.9312805533409119,-1.4777073860168457,-1.3287338018417358,-2.087578535079956,-1.3328174352645874,-1.8747001886367798,-2.8715312480926514,-2.9662654399871826,-1.6342147588729858,-2.400486707687378,-1.9221675395965576,-3.483140468597412,-4.529056072235107,-2.7990801334381104,-3.11226487159729,-2.8715624809265137,-3.534278631210327,-4.658724784851074,-3.228682518005371,-4.170745372772217,-5.5811896324157715,-5.072592258453369,-6.78860330581665,-7.183189392089844,-7.5400309562683105,-8.308100700378418,-7.716788291931152,-6.119300365447998,-6.522806167602539,-7.314815521240234,-5.931910991668701,-5.165179252624512,-5.052586555480957,-3.4114534854888916,-3.118051290512085,-0.586998701095581,0.39580538868904114,1.140550971031189,1.834904670715332,2.5908617973327637,3.8719115257263184,4.796273708343506,6.138518810272217,6.321160793304443,7.269648551940918,8.124349594116211,10.826900482177734,11.034438133239746,10.674103736877441,12.512452125549316,12.055557250976562,14.524543762207031,14.383313179016113,14.807908058166504,16.576692581176758,24.835391998291016,17.224254608154297
rewards,11.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,11.0,9.0,11.0,14.0,10.0,12.0,10.0,10.0,12.0,9.0,11.0,8.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,12.0,9.0,17.0,8.0,10.0,9.0,12.0,10.0,9.0,19.0,18.0,11.0,17.0,11.0,18.0,17.0,12.0,13.0,20.0,49.0,31.0,16.0,18.0,39.0,25.0,17.0,16.0,22.0,15.0,90.0,59.0,81.0,48.0,49.0,58.0,29.0,68.0,34.0,57.0,178.0,63.0,168.0,160.0,168.0,182.0,274.0,236.0,213.0,213.0,201.0,219.0,202.0,232.0,244.0,200.0,222.0,223.0,156.0,242.0,267.0,267.0,321.0,260.0,314.0,351.0,169.0,500.0
epsilons,0.9890548353295385,0.9801888648295347,0.9714023696327185,0.9626946373158061,0.9521577859830145,0.9436225637280606,0.9360999518731578,0.9277086733900016,0.9175547491935327,0.9093297114626595,0.8993769480309576,0.8868671875860644,0.8780383184956015,0.8675596164681794,0.8589229565610536,0.8503722756378911,0.8402237462387894,0.8326919101044725,0.8235779600286178,0.8170123504685082,0.8096885832327116,0.8016280363938307,0.7928540855310416,0.7849611281333895,0.7763695993260584,0.7686407469632577,0.7617505868384082,0.7526596881264136,0.745912783553375,0.7333332049215037,0.7274870315965022,0.7202448110511043,0.7137884761549381,0.7052699677998009,0.698248920785887,0.6919897588949444,0.6789596158607596,0.6668416716372578,0.6595429797320621,0.6484199999982736,0.6413229363226717,0.6298767245155701,0.6192540566123834,0.6118637427709198,0.6039570649304998,0.5919919898800042,0.5636697824038235,0.5464556095429605,0.5377775894404436,0.5281794356161887,0.5079670346979859,0.49541908701565013,0.48706400382327686,0.4793291555710539,0.4688939045102337,0.4619095170944617,0.42213450329202495,0.3979373065922575,0.3669604016168464,0.349753957504439,0.3330209538162239,0.31424608621522926,0.30525939279728115,0.2851820820538545,0.2756441850291093,0.260364436990891,0.217890636816753,0.2045805427289133,0.17292841000913206,0.1473480743425184,0.12455078999239512,0.10381625147526369,0.07892400538576702,0.06232529443719545,0.05036320165778891,0.04069699315707315,0.03328322926552661,0.026734211409577522,0.021842180901660936,0.01731766236478993,0.013566517996617442,0.011106214078031718,0.008894149530558944,0.007115547154127546,0.006087296617776207,0.004778291220372176,0.003658120197552014,0.002800549979600387,0.0020312578101766487,0.001566000826532246,0.0011438136892204672,0.001,0.001,0.001
