,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
q_min,-0.009191671386361122,-0.014894697815179825,-0.009951665066182613,-0.14743280410766602,0.024336490780115128,0.015247335657477379,0.06566189229488373,0.02118685655295849,-0.0012767843436449766,0.023032017052173615,0.04339539632201195,0.03375548496842384,0.06268054246902466,0.10376613587141037,0.10738271474838257,0.09715425223112106,0.0073645999655127525,-0.012625530362129211,-1.503913402557373,-1.7556383609771729,-1.7538317441940308,-3.3909192085266113,-3.124295473098755,-2.270157814025879,-3.6299664974212646,-5.005257606506348,-8.201554298400879,-9.815013885498047,-11.11706256866455,-15.399247169494629,-12.495697021484375,-14.64750862121582,-22.004188537597656,-27.997926712036133,-26.80433464050293,-20.71682357788086,-36.558109283447266,-42.17269515991211,-46.108184814453125,-40.88604736328125,-50.469024658203125,-47.028045654296875,-53.97837829589844,-28.46714973449707,-50.214988708496094,-71.67977905273438,-34.17869567871094,-38.05360412597656,-35.70992660522461,-24.27537727355957,-1.9416428804397583,-56.656925201416016,-1.9589442014694214,-38.830631256103516,-52.77064895629883,-1.8971136808395386,-5.633000373840332,-6.560859203338623,-18.1531925201416,-24.42964744567871,-6.4952497482299805,-12.722415924072266,-7.561001777648926,-8.158951759338379,-8.7735595703125,-11.462849617004395,-15.451045989990234,-17.332616806030273,-22.49014663696289,-52.25284957885742,-31.954025268554688,-29.55025863647461,-23.41769027709961,-6.584049701690674,-30.60080337524414,-16.322168350219727,2.234879732131958,-0.48620039224624634,10.960969924926758,13.17189884185791,17.7287654876709,15.34280014038086,11.090007781982422,-13.895008087158203,26.176420211791992,25.082382202148438,51.42340087890625,25.33790397644043,35.254608154296875,27.97431182861328,17.960895538330078,9.222877502441406,-30.32655143737793,56.392215728759766,110.2413101196289,122.11353302001953,118.14234924316406,122.98169708251953,131.69961547851562,105.41848754882812,141.49424743652344,149.43963623046875,100.55845642089844,87.98151397705078,76.5983657836914,114.9916763305664,208.861083984375,12.231968879699707,27.060951232910156,-88.47499084472656,-33.318809509277344,10.310195922851562,-28.85257911682129,-93.02642059326172,-162.89288330078125,-133.6868896484375,103.11771392822266,827.9801025390625,850.3562622070312,909.3953247070312,973.0853271484375,995.0181884765625,1041.4610595703125,1117.9317626953125,1162.1656494140625,1223.239501953125,1239.156494140625,1305.983154296875,1288.822509765625,1339.592041015625,1364.3387451171875,1393.548095703125,1361.1842041015625,1321.894775390625,1391.0052490234375,1355.5205078125,1342.511962890625,1461.8939208984375,1415.872802734375,1430.7161865234375,1435.6480712890625,1399.94677734375,1425.1993408203125,1460.1617431640625,1520.7357177734375,1535.0889892578125,1565.992431640625,1566.980712890625,1597.063720703125,1579.519287109375,1310.9942626953125,1276.724853515625,1349.154541015625,1321.572509765625,1342.4683837890625,1260.9822998046875,1245.05078125,1222.93701171875,1174.0706787109375,943.5365600585938,527.4213256835938,189.4842071533203,-205.0097198486328,-728.8098754882812,-830.0324096679688,397.0599670410156,-790.2799682617188,244.80221557617188,341.0618896484375,-307.4743957519531,314.2107238769531,794.0650634765625
q_mean,0.1705072820186615,0.09637591987848282,0.12099771946668625,0.45056644082069397,1.6243655681610107,1.8242806196212769,1.9500116109848022,2.4849443435668945,2.260016918182373,2.5141782760620117,3.0733232498168945,2.9245831966400146,3.1340246200561523,1.9344475269317627,1.6529041528701782,1.1812920570373535,0.26487135887145996,0.14729540050029755,-0.41601675748825073,-0.9892575144767761,-0.858447253704071,-1.636688470840454,-1.3501720428466797,-1.4215155839920044,-2.104408025741577,-2.8154540061950684,-3.9929263591766357,-4.678430557250977,-4.3108015060424805,-7.264936447143555,-5.785590171813965,-7.905742168426514,-8.573534965515137,-9.428887367248535,-10.575336456298828,-11.321627616882324,-19.330463409423828,-15.5670804977417,-15.47874641418457,-13.72514820098877,-24.850460052490234,-26.113174438476562,-27.724987030029297,-15.103567123413086,-27.74144172668457,-17.110797882080078,-10.319324493408203,-19.145950317382812,-10.37258243560791,-6.532651901245117,-0.6854544281959534,-14.302918434143066,-1.1840823888778687,-12.538304328918457,-12.835867881774902,-1.5416020154953003,-2.1085994243621826,-1.925803303718567,-3.6158909797668457,-3.8511202335357666,-2.3177943229675293,-2.545199394226074,-3.7259278297424316,-2.6715548038482666,-4.730844974517822,-4.9885382652282715,-6.96082067489624,-6.44608211517334,-8.895272254943848,-7.828514099121094,-15.016888618469238,-4.1387739181518555,-0.5909619927406311,4.627151012420654,13.909858703613281,17.86155891418457,14.632072448730469,28.547950744628906,25.874027252197266,35.044593811035156,33.08074951171875,20.414283752441406,18.742202758789062,14.620861053466797,56.22053527832031,41.939849853515625,86.02055358886719,59.48855972290039,79.31977844238281,68.26981353759766,72.10688018798828,63.00265884399414,28.62846565246582,81.75932312011719,142.4347686767578,168.01473999023438,146.54095458984375,166.07850646972656,180.8946990966797,147.7905731201172,167.1732177734375,189.21751403808594,170.48536682128906,165.11097717285156,126.36932373046875,188.3861541748047,254.0379180908203,172.77166748046875,119.7054672241211,120.25065612792969,98.29632568359375,133.19642639160156,142.03829956054688,132.2750701904297,102.73503112792969,97.2463607788086,409.7497253417969,1666.0418701171875,1607.159423828125,1877.64208984375,2001.21044921875,2113.65576171875,2280.939208984375,2578.411376953125,2427.436279296875,2717.49169921875,2551.19287109375,2526.526123046875,2590.03076171875,2486.796875,2479.924560546875,2809.992919921875,2868.0185546875,2404.40673828125,2519.7216796875,2445.65380859375,2490.94921875,2627.54638671875,2659.02490234375,2604.90087890625,2308.65283203125,2393.1318359375,2423.93603515625,2469.805419921875,2501.195068359375,2368.403564453125,2513.05712890625,2663.305419921875,2651.22509765625,2337.355224609375,1899.2640380859375,2040.86376953125,1658.0733642578125,1721.0509033203125,1616.58154296875,1538.7733154296875,1466.6702880859375,1372.491943359375,1266.6810302734375,1167.3594970703125,1053.125,1014.594970703125,922.0703735351562,857.1676635742188,762.0604858398438,967.218505859375,645.2299194335938,829.4468383789062,875.4827270507812,850.066650390625,734.1681518554688,1325.4139404296875
q_max,0.4476514458656311,0.2485671192407608,0.2683257460594177,1.7173620462417603,3.399998426437378,3.7296760082244873,4.218657493591309,5.089282035827637,5.7547454833984375,5.1561150550842285,6.385066032409668,6.755895137786865,6.383378505706787,3.284217119216919,3.4927830696105957,1.8169019222259521,0.7678725719451904,0.5127353072166443,0.17197877168655396,0.1916016936302185,0.1768869310617447,0.19948844611644745,0.12899518013000488,0.10557707399129868,0.19952186942100525,0.20177911221981049,0.23296809196472168,0.26519647240638733,0.26183435320854187,0.2847667336463928,0.21129210293293,0.21830260753631592,0.22069106996059418,0.22963494062423706,0.1851450800895691,0.14708325266838074,0.12421023845672607,0.11964049190282822,0.0678604319691658,-0.014259390532970428,-0.09871532022953033,-0.10489694774150848,-0.2082689255475998,-0.4037885069847107,-0.48536229133605957,-0.38345658779144287,-0.7001760601997375,-0.7578285932540894,-1.1280677318572998,0.1077021136879921,0.1296905130147934,-0.06705167144536972,-0.7505741119384766,-1.2768844366073608,-0.26417526602745056,-0.9853701591491699,-0.7192400097846985,-0.9919307827949524,-0.7120921611785889,1.5942009687423706,-0.41567233204841614,-0.3338586091995239,-0.7818169593811035,0.016445297747850418,-0.5878817439079285,-0.5393961071968079,-0.8982870578765869,-0.42687439918518066,-0.8903274536132812,-0.37605661153793335,-2.719740629196167,0.46180635690689087,20.563318252563477,26.256040573120117,51.24488067626953,43.0032844543457,31.506568908691406,89.96888732910156,67.22400665283203,91.76577758789062,57.45389175415039,33.17312240600586,24.836585998535156,31.30557632446289,72.57699584960938,63.13745880126953,105.56987762451172,80.62046813964844,104.20976257324219,90.22876739501953,98.2825698852539,98.63391876220703,110.97735595703125,147.17173767089844,164.13766479492188,208.0876007080078,163.74478149414062,208.49417114257812,203.1477813720703,165.69630432128906,177.99301147460938,213.5996551513672,219.8702392578125,202.21884155273438,166.49465942382812,223.63040161132812,358.48382568359375,239.15811157226562,213.98773193359375,227.95025634765625,204.0743865966797,194.28587341308594,216.61622619628906,232.95065307617188,219.41668701171875,199.7374267578125,966.3807373046875,2672.2587890625,2559.4267578125,3021.181884765625,3207.706298828125,3437.684814453125,3763.65576171875,4122.07666015625,3891.0087890625,4417.79052734375,4117.18017578125,4430.365234375,4054.743408203125,3878.791259765625,3814.030029296875,4358.9423828125,4592.02734375,3713.604248046875,3908.4140625,3746.787841796875,3922.393798828125,3969.25439453125,4148.806640625,3980.03466796875,3367.471923828125,3656.3798828125,3627.213623046875,3764.220703125,3702.456298828125,3378.90234375,3684.99169921875,4007.813232421875,3880.379150390625,3089.898681640625,2797.05029296875,3100.596435546875,2365.145263671875,2556.11767578125,2231.0703125,2237.781005859375,2107.052734375,1632.941650390625,1404.342041015625,1298.7926025390625,1254.3310546875,1243.4451904296875,1257.0616455078125,1265.8226318359375,1168.8284912109375,1307.3677978515625,1644.4649658203125,1635.2255859375,1570.4967041015625,1851.3197021484375,1795.62841796875,2701.26318359375
rewards,11.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,8.0,9.0,13.0,9.0,13.0,10.0,11.0,10.0,12.0,13.0,9.0,12.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,10.0,9.0,11.0,15.0,11.0,12.0,11.0,15.0,16.0,13.0,10.0,10.0,10.0,15.0,9.0,23.0,36.0,17.0,27.0,101.0,16.0,30.0,11.0,37.0,29.0,14.0,19.0,31.0,31.0,27.0,16.0,35.0,11.0,28.0,14.0,15.0,15.0,23.0,22.0,74.0,23.0,93.0,116.0,163.0,107.0,95.0,119.0,163.0,150.0,155.0,118.0,124.0,128.0,152.0,11.0,17.0,10.0,9.0,10.0,10.0,10.0,11.0,104.0,100.0,12.0,11.0,9.0,11.0,10.0,11.0,8.0,11.0,11.0,11.0,12.0,155.0,207.0,172.0,147.0,160.0,146.0,173.0,175.0,170.0,176.0,175.0,330.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,15.0,26.0,22.0,25.0,19.0,22.0,25.0,28.0,21.0,24.0,34.0,30.0,30.0,40.0,34.0,214.0,137.0,169.0,198.0,267.0,331.0,500.0
epsilons,0.9890548353295385,0.9801888648295347,0.9714023696327185,0.9626946373158061,0.9531108968798944,0.9445671308589195,0.9370369888620198,0.9286373107007023,0.9184732224159486,0.9111511025165902,0.9029834676116293,0.8913148576343527,0.8833250364922639,0.8719104583701925,0.8632304853107438,0.8537822855004553,0.8452827805735033,0.8351949903256736,0.8244023623910088,0.8170123504685082,0.8072619457390746,0.8000255819490795,0.7936477332643059,0.7865334084168147,0.7794828569739644,0.7717230117583408,0.764805221953346,0.7571914943525904,0.7474068498462175,0.7407070321560997,0.7333332049215037,0.7267595445649057,0.7188050416738131,0.7080981145008015,0.7003478640347469,0.6919897588949444,0.6844158170335664,0.6742211329618302,0.6635141250307047,0.654940006215578,0.6484199999982736,0.6419649012238956,0.6355740637310745,0.6261068997312542,0.6204944249678943,0.6063789448611848,0.5849270275271061,0.5750624217730242,0.5597359112837013,0.505938212330042,0.4979036311114436,0.4831811023432807,0.47789260561247826,0.46052517380982005,0.44735524511437874,0.44113281861968207,0.43282630302490405,0.4196080198534616,0.4067934159611651,0.3959515954549783,0.3896636631051653,0.37625475470427916,0.37213658445599673,0.36185621618376534,0.3568230267186975,0.35150798586723914,0.34627211496036764,0.33839485296807126,0.3310278167522081,0.3074047815158953,0.30041170324864147,0.27372045462388644,0.24372713693665488,0.20705154127145922,0.18603116589055688,0.16916366640232217,0.1501758809449194,0.1275777002194309,0.10979890347177342,0.09402615523283343,0.08355573977468322,0.07380687688561008,0.06493507128154478,0.0557742234096472,0.0551637653500615,0.054233446230786714,0.05369354577692105,0.053212232329077506,0.052682498181934836,0.05215803760168396,0.051638798089334734,0.05107360294086226,0.04602642796740446,0.04164435058460235,0.04114735776354959,0.04069699315707315,0.04033218189698842,0.03989073952460687,0.03949362243411767,0.03906135823314322,0.03874995890060464,0.03832583421946392,0.03790635165279908,0.03749146039190275,0.037044029073993116,0.03172260849632522,0.025788433034503296,0.02171145501244838,0.018741989847198173,0.01596959177029295,0.013799237691776219,0.011606053241865581,0.009741929852393218,0.008218224417360939,0.006891343917918627,0.00578448053253015,0.004157913770246689,0.0041206418824688154,0.0040877918949140425,0.004051148585508061,0.004014833749801021,0.003978844443327133,0.003943177748015049,0.0039039229411793044,0.0038689278484964488,0.0038304122083048253,0.0037960760719971047,0.00375077286689321,0.0037171506243215834,0.0036801459445780526,0.0036508076152771077,0.0036144633881358603,0.003574902491157359,0.0035464031685533562,0.003514612913098978,0.0034831076281608723,0.00345188475923943,0.0034209417747337904,0.0033868858895708394,0.003353169034824248,0.0033264373837356975,0.0032966189200258626,0.0032670677515257212,0.0032377814821785934,0.0032087577374062524,0.00318317734125765,0.003154643072584399,0.003123238222901333,0.003092146012258858,0.0030583019649695745,0.0030127471698393722,0.0029353870979541884,0.002871482157117967,0.002800549979600387,0.002747815721124004,0.0026879943090827602,0.002621594701122295,0.00254917247736414,0.002496171806365407,0.0024369476005980176,0.0023554440394282297,0.0022857958375164067,0.0022182070655669813,0.002131187269840456,0.0020599098439454174,0.0016628868286704488,0.0014498884170038046,0.0012243401469336417,0.0010043122483553882,0.001,0.001,0.001
